labels, P-420
574.0,1.0903178146468375,
575.0,1.087246846523719,
576.0,1.0839997167500524,
577.0,1.0805998096357612,
578.0,1.0770608215625936,
579.0,1.0733576971995948,
580.0,1.069455693287635,
581.0,1.0653200665675824,
582.0,1.0609160737803072,
583.0,1.0562089716666787,
584.0,1.051164016967566,
585.0,1.0457571586607572,
586.0,1.0400071146717134,
587.0,1.033943295162814,
588.0,1.0275951102964378,
589.0,1.0209919702349648,
590.0,1.0141632851407743,
591.0,1.0071335241808552,
592.0,0.9999073925406357,
593.0,0.992484654410153,
594.0,0.9848650739794451,
595.0,0.9770484154385497,
596.0,0.9690344429775045,
597.0,0.960822920786347,
598.0,0.9524136130551148,
599.0,0.943806283973846,
600.0,0.935000697732578,
601.0,0.9259966185213486,
602.0,0.9167938105301953,
603.0,0.9073920379491556,
604.0,0.8977936529255535,
605.0,0.8880113594358564,
606.0,0.8780604494138172,
607.0,0.8679562147931902,
608.0,0.8577139475077283,
609.0,0.8473489394911843,
610.0,0.8368764826773125,
611.0,0.8263118689998658,
612.0,0.8156703903925977,
613.0,0.8049673387892615,
614.0,0.7942180061236109,
615.0,0.7834376843293989,
616.0,0.7726416653403789,
617.0,0.7618452410903047,
618.0,0.7510614149205015,
619.0,0.7402940358025835,
620.0,0.7295446641157374,
621.0,0.7188148602391493,
622.0,0.7081061845520058,
623.0,0.6974201974334933,
624.0,0.6867584592627983,
625.0,0.6761225304191067,
626.0,0.6655139712816056,
627.0,0.6549343422294814,
628.0,0.64438520364192,
629.0,0.6338681158981081,
630.0,0.6233846393772321,
631.0,0.61293712211706,
632.0,0.6025310627896863,
633.0,0.5921727477257865,
634.0,0.5818684632560368,
635.0,0.5716244957111133,
636.0,0.5614471314216918,
637.0,0.5513426567184478,
638.0,0.5413173579320579,
639.0,0.5313775213931976,
640.0,0.5215294334325428,
641.0,0.5117793803807698,
642.0,0.502133648568554,
643.0,0.4925985243265717,
644.0,0.48318029398549867,
645.0,0.4738838897704698,
646.0,0.4647088274844551,
647.0,0.4556532688248837,
648.0,0.44671537548918444,
649.0,0.4378933091747865,
650.0,0.42918523157911875,
651.0,0.4205893043996103,
652.0,0.41210368933369007,
653.0,0.4037265480787871,
654.0,0.39545604233233034,
655.0,0.3872903337917488,
656.0,0.3792275841544716,
657.0,0.37126595511792765,
658.0,0.36340464016550034,
659.0,0.3556469599243908,
660.0,0.34799726680775445,
661.0,0.3404599132287466,
662.0,0.33303925160052295,
663.0,0.32573963433623865,
664.0,0.3185654138490494,
665.0,0.3115209425521105,
666.0,0.3046105728585775,
667.0,0.2978386571816056,
668.0,0.29120954793435067,
669.0,0.28472759752996796,
670.0,0.2783971583816127,
671.0,0.27222258290244067,
672.0,0.2662061739834553,
673.0,0.26034203642705306,
674.0,0.2546222255134786,
675.0,0.24903879652297625,
676.0,0.2435838047357909,
677.0,0.2382493054321669,
678.0,0.23302735389234894,
679.0,0.22791000539658154,
680.0,0.22288931522510932,
681.0,0.21795733865817687,
682.0,0.2131061309760288,
683.0,0.20832774745890947,
684.0,0.20361424338706383,
685.0,0.19895966521769978,
686.0,0.19436602411588022,
687.0,0.18983732242363127,
688.0,0.18537756248297946,
689.0,0.1809907466359509,
690.0,0.17668087722457207,
691.0,0.17245195659086923,
692.0,0.16830798707686875,
693.0,0.1642529710245969,
694.0,0.16029091077608,
695.0,0.1564258086733444,
696.0,0.15266166705841638,
697.0,0.1490024882733223,
698.0,0.14545018363918624,
699.0,0.14199830039352304,
700.0,0.13863829475294528,
701.0,0.1353616229340657,
702.0,0.13215974115349685,
703.0,0.12902410562785138,
704.0,0.1259461725737419,
705.0,0.12291739820778103,
706.0,0.1199292387465814,
707.0,0.11697315040675563,
708.0,0.11404058940491638,
709.0,0.11112301195767621,
710.0,0.10821187428164779,
