Labels,sca-30-t3_final,
695.00,6.46789813E+5,
696.00,6.50346500E+5,
697.00,6.53890375E+5,
698.00,6.57422688E+5,
699.00,6.60947313E+5,
700.00,6.64479625E+5,
701.00,6.68036313E+5,
702.00,6.71626000E+5,
703.00,6.75252813E+5,
704.00,6.78914313E+5,
705.00,6.82600688E+5,
706.00,6.86296688E+5,
707.00,6.89987375E+5,
708.00,6.93666188E+5,
709.00,6.97325688E+5,
710.00,7.00958000E+5,
711.00,7.04564875E+5,
712.00,7.08150188E+5,
713.00,7.11714125E+5,
714.00,7.15260125E+5,
715.00,7.18800125E+5,
716.00,7.22352313E+5,
717.00,7.25927500E+5,
718.00,7.29522625E+5,
719.00,7.33126688E+5,
720.00,7.36733875E+5,
721.00,7.40344625E+5,
722.00,7.43964000E+5,
723.00,7.47602625E+5,
724.00,7.51262000E+5,
725.00,7.54939125E+5,
726.00,7.58634625E+5,
727.00,7.62352188E+5,
728.00,7.66097875E+5,
729.00,7.69875125E+5,
730.00,7.73682875E+5,
731.00,7.77511625E+5,
732.00,7.81343875E+5,
733.00,7.85169875E+5,
734.00,7.88986688E+5,
735.00,7.92786813E+5,
736.00,7.96562000E+5,
737.00,8.00310313E+5,
738.00,8.04032313E+5,
739.00,8.07724688E+5,
740.00,8.11390813E+5,
741.00,8.15034875E+5,
742.00,8.18657813E+5,
743.00,8.22260500E+5,
744.00,8.25850500E+5,
745.00,8.29436375E+5,
746.00,8.33020375E+5,
747.00,8.36609313E+5,
748.00,8.40212688E+5,
749.00,8.43842875E+5,
750.00,8.47502813E+5,
751.00,8.51174375E+5,
752.00,8.54832188E+5,
753.00,8.58453875E+5,
754.00,8.62023500E+5,
755.00,8.65524813E+5,
756.00,8.68955000E+5,
757.00,8.72317813E+5,
758.00,8.75619688E+5,
759.00,8.78863500E+5,
760.00,8.82056688E+5,
761.00,8.85203500E+5,
762.00,8.88313125E+5,
763.00,8.91402125E+5,
764.00,8.94497688E+5,
765.00,8.97621188E+5,
766.00,9.00779375E+5,
767.00,9.03964625E+5,
768.00,9.07174688E+5,
769.00,9.10415625E+5,
770.00,9.13698125E+5,
771.00,9.17032813E+5,
772.00,9.20411625E+5,
773.00,9.23821875E+5,
774.00,9.27250188E+5,
775.00,9.30685188E+5,
776.00,9.34121500E+5,
777.00,9.37563625E+5,
778.00,9.41010688E+5,
779.00,9.44452813E+5,
780.00,9.47878125E+5,
781.00,9.51281625E+5,
782.00,9.54666500E+5,
783.00,9.58037000E+5,
784.00,9.61383688E+5,
