Labels,T6 data_Apr2019_Fluoracle2,
804.00,4.27115619E-1,
805.00,4.28825855E-1,
806.00,4.30533171E-1,
807.00,4.32238400E-1,
808.00,4.33942109E-1,
809.00,4.35645163E-1,
810.00,4.37348217E-1,
811.00,4.39052105E-1,
812.00,4.40757185E-1,
813.00,4.42463934E-1,
814.00,4.44172740E-1,
815.00,4.45883632E-1,
816.00,4.47596937E-1,
817.00,4.49312836E-1,
818.00,4.51031744E-1,
819.00,4.52753931E-1,
820.00,4.54479814E-1,
821.00,4.56209838E-1,
822.00,4.57944244E-1,
823.00,4.59683090E-1,
824.00,4.61426526E-1,
825.00,4.63174582E-1,
826.00,4.64927047E-1,
827.00,4.66683477E-1,
828.00,4.68443543E-1,
829.00,4.70206857E-1,
830.00,4.71972823E-1,
831.00,4.73741114E-1,
832.00,4.75511193E-1,
833.00,4.77282524E-1,
834.00,4.79054540E-1,
835.00,4.80826914E-1,
836.00,4.82599676E-1,
837.00,4.84372854E-1,
838.00,4.86146212E-1,
839.00,4.87919569E-1,
840.00,4.89692509E-1,
841.00,4.91464406E-1,
842.00,4.93234813E-1,
843.00,4.95003223E-1,
844.00,4.96768922E-1,
845.00,4.98531580E-1,
846.00,5.00290990E-1,
847.00,5.02047360E-1,
848.00,5.03800869E-1,
849.00,5.05551636E-1,
850.00,5.07299781E-1,
851.00,5.09045422E-1,
852.00,5.10788739E-1,
853.00,5.12529731E-1,
854.00,5.14268398E-1,
855.00,5.16004920E-1,
856.00,5.17739356E-1,
857.00,5.19471884E-1,
858.00,5.21202624E-1,
859.00,5.22931755E-1,
860.00,5.24659574E-1,
861.00,5.26385963E-1,
862.00,5.28110981E-1,
863.00,5.29834449E-1,
864.00,5.31556368E-1,
865.00,5.33276558E-1,
866.00,5.34994900E-1,
867.00,5.36711335E-1,
868.00,5.38425803E-1,
869.00,5.40138304E-1,
870.00,5.41849196E-1,
871.00,5.43558419E-1,
872.00,5.45266092E-1,
873.00,5.46972632E-1,
874.00,5.48678160E-1,
875.00,5.50383091E-1,
876.00,5.52087009E-1,
877.00,5.53790331E-1,
878.00,5.55494189E-1,
879.00,5.57198107E-1,
880.00,5.58901429E-1,
881.00,5.60604751E-1,
882.00,5.62308133E-1,
883.00,5.64010382E-1,
884.00,5.65712631E-1,
885.00,5.67414939E-1,
886.00,5.69117188E-1,
887.00,5.70820510E-1,
888.00,5.72524965E-1,
889.00,5.74230433E-1,
890.00,5.75937569E-1,
891.00,5.77646255E-1,
892.00,5.79356074E-1,
893.00,5.81066966E-1,
894.00,5.82778931E-1,
895.00,5.84490836E-1,
896.00,5.86203873E-1,
897.00,5.87917447E-1,
898.00,5.89632094E-1,
899.00,5.91346741E-1,
900.00,5.93061388E-1,
901.00,5.94776571E-1,
902.00,5.96491218E-1,
903.00,5.98205864E-1,
904.00,5.99919975E-1,
905.00,6.01633012E-1,
906.00,6.03344440E-1,
907.00,6.05054200E-1,
908.00,6.06761873E-1,
909.00,6.08466804E-1,
910.00,6.10169113E-1,
911.00,6.11868143E-1,
912.00,6.13565028E-1,
913.00,6.15259171E-1,
914.00,6.16949618E-1,
915.00,6.18637919E-1,
916.00,6.20322406E-1,
917.00,6.22004211E-1,
918.00,6.23682261E-1,
919.00,6.25357628E-1,
920.00,6.27029777E-1,
921.00,6.28699720E-1,
922.00,6.30366504E-1,
923.00,6.32030547E-1,
924.00,6.33691907E-1,
925.00,6.35350585E-1,
926.00,6.37007117E-1,
927.00,6.38661444E-1,
928.00,6.40313685E-1,
929.00,6.41963720E-1,
930.00,6.43611133E-1,
931.00,6.45256877E-1,
932.00,6.46899939E-1,
933.00,6.48540854E-1,
934.00,6.50179088E-1,
935.00,6.51815116E-1,
936.00,6.53448522E-1,
937.00,6.55079722E-1,
938.00,6.56709373E-1,
939.00,6.58336818E-1,
940.00,6.59962118E-1,
941.00,6.61585808E-1,
942.00,6.63207352E-1,
943.00,6.64826751E-1,
944.00,6.66444540E-1,
945.00,6.68059587E-1,
946.00,6.69673085E-1,
947.00,6.71283841E-1,
948.00,6.72892451E-1,
949.00,6.74498379E-1,
950.00,6.76101625E-1,
951.00,6.77702725E-1,
952.00,6.79300606E-1,
953.00,6.80895209E-1,
954.00,6.82487667E-1,
955.00,6.84076369E-1,
956.00,6.85662389E-1,
957.00,6.87245190E-1,
958.00,6.88825309E-1,
959.00,6.90402687E-1,
960.00,6.91977441E-1,
961.00,6.93549454E-1,
962.00,6.95118785E-1,
963.00,6.96685433E-1,
964.00,6.98249400E-1,
965.00,6.99810088E-1,
966.00,7.01368690E-1,
967.00,7.02924550E-1,
968.00,7.04477787E-1,
969.00,7.06028283E-1,
970.00,7.07576036E-1,
971.00,7.09121168E-1,
972.00,7.10663080E-1,
973.00,7.12203324E-1,
974.00,7.13740408E-1,
975.00,7.15275824E-1,
976.00,7.16808021E-1,
977.00,7.18338609E-1,
978.00,7.19866514E-1,
979.00,7.21392274E-1,
980.00,7.22915292E-1,
981.00,7.24436224E-1,
982.00,7.25954950E-1,
983.00,7.27470458E-1,
984.00,7.28983283E-1,
985.00,7.30492890E-1,
986.00,7.31998742E-1,
987.00,7.33500779E-1,
988.00,7.34998524E-1,
989.00,7.36491978E-1,
