Labels	T4_data_Sept2014_v2	
585.00	1.08648397E-1	
586.00	1.09728873E-1	
587.00	1.10815048E-1	
588.00	1.11906871E-1	
589.00	1.13004304E-1	
590.00	1.14107326E-1	
591.00	1.15215883E-1	
592.00	1.16329975E-1	
593.00	1.17449537E-1	
594.00	1.18574530E-1	
595.00	1.19704954E-1	
596.00	1.20840736E-1	
597.00	1.21981844E-1	
598.00	1.23128265E-1	
599.00	1.24279946E-1	
600.00	1.25436828E-1	
601.00	1.26598909E-1	
602.00	1.27766103E-1	
603.00	1.28938422E-1	
604.00	1.30115822E-1	
605.00	1.31298214E-1	
606.00	1.32485583E-1	
607.00	1.33677945E-1	
608.00	1.34875149E-1	
609.00	1.36077225E-1	
610.00	1.37284145E-1	
611.00	1.38495803E-1	
612.00	1.39712259E-1	
613.00	1.40933394E-1	
614.00	1.42159209E-1	
615.00	1.43389642E-1	
616.00	1.44624695E-1	
617.00	1.45864323E-1	
618.00	1.47108436E-1	
619.00	1.48357108E-1	
620.00	1.49610177E-1	
621.00	1.50867686E-1	
622.00	1.52129561E-1	
623.00	1.53395772E-1	
624.00	1.54666319E-1	
625.00	1.55941159E-1	
626.00	1.57220259E-1	
627.00	1.58503622E-1	
628.00	1.59791172E-1	
629.00	1.61082968E-1	
630.00	1.62378952E-1	
631.00	1.63679093E-1	
632.00	1.64983422E-1	
633.00	1.66291893E-1	
634.00	1.67604521E-1	
635.00	1.68921307E-1	
636.00	1.70242235E-1	
637.00	1.71567306E-1	
638.00	1.72896549E-1	
639.00	1.74229920E-1	
640.00	1.75567508E-1	
641.00	1.76909283E-1	
642.00	1.78255260E-1	
643.00	1.79605484E-1	
644.00	1.80959955E-1	
645.00	1.82318732E-1	
646.00	1.83681801E-1	
647.00	1.85049236E-1	
648.00	1.86421037E-1	
649.00	1.87797308E-1	
650.00	1.89178020E-1	
651.00	1.90563262E-1	
652.00	1.91953093E-1	
653.00	1.93347529E-1	
654.00	1.94746688E-1	
655.00	1.96150616E-1	
656.00	1.97559372E-1	
657.00	1.98973030E-1	
658.00	2.00391635E-1	
659.00	2.01815307E-1	
660.00	2.03244090E-1	
661.00	2.04678044E-1	
662.00	2.06117332E-1	
663.00	2.07561970E-1	
664.00	2.09012076E-1	
665.00	2.10467696E-1	
666.00	2.11928964E-1	
667.00	2.13395953E-1	
668.00	2.14868769E-1	
