Labels,T2 data_interpolated up to 2500,
644.00,2.32491955E-1,
645.00,2.34074399E-1,
646.00,2.35664010E-1,
647.00,2.37261310E-1,
648.00,2.38866940E-1,
649.00,2.40481600E-1,
650.00,2.42105857E-1,
651.00,2.43740141E-1,
652.00,2.45384738E-1,
653.00,2.47040063E-1,
654.00,2.48706743E-1,
655.00,2.50385731E-1,
656.00,2.52077937E-1,
657.00,2.53783852E-1,
658.00,2.55503446E-1,
659.00,2.57236779E-1,
660.00,2.58984089E-1,
661.00,2.60745674E-1,
662.00,2.62522101E-1,
663.00,2.64314085E-1,
664.00,2.66122639E-1,
665.00,2.67948508E-1,
666.00,2.69792408E-1,
667.00,2.71655291E-1,
668.00,2.73537844E-1,
669.00,2.75440514E-1,
670.00,2.77363360E-1,
671.00,2.79306114E-1,
672.00,2.81268537E-1,
673.00,2.83250242E-1,
674.00,2.85250872E-1,
675.00,2.87270099E-1,
676.00,2.89307415E-1,
677.00,2.91362256E-1,
678.00,2.93433964E-1,
679.00,2.95521885E-1,
680.00,2.97625422E-1,
681.00,2.99744368E-1,
682.00,3.01878899E-1,
683.00,3.04029554E-1,
684.00,3.06196511E-1,
685.00,3.08379889E-1,
686.00,3.10579866E-1,
687.00,3.12796563E-1,
688.00,3.15030247E-1,
689.00,3.17280769E-1,
690.00,3.19547445E-1,
691.00,3.21829498E-1,
692.00,3.24126065E-1,
693.00,3.26435745E-1,
694.00,3.28756720E-1,
695.00,3.31087321E-1,
696.00,3.33426416E-1,
697.00,3.35772932E-1,
698.00,3.38125557E-1,
699.00,3.40483248E-1,
700.00,3.42845082E-1,
701.00,3.45210105E-1,
702.00,3.47577631E-1,
703.00,3.49947125E-1,
704.00,3.52317959E-1,
705.00,3.54689568E-1,
706.00,3.57061803E-1,
707.00,3.59434783E-1,
708.00,3.61808002E-1,
709.00,3.64180654E-1,
710.00,3.66551131E-1,
711.00,3.68917853E-1,
712.00,3.71278495E-1,
713.00,3.73630852E-1,
714.00,3.75973016E-1,
715.00,3.78303707E-1,
716.00,3.80621463E-1,
717.00,3.82925600E-1,
718.00,3.85215878E-1,
719.00,3.87492657E-1,
720.00,3.89756262E-1,
721.00,3.92007321E-1,
722.00,3.94246131E-1,
723.00,3.96473497E-1,
724.00,3.98690194E-1,
725.00,4.00897324E-1,
726.00,4.03095335E-1,
727.00,4.05284703E-1,
728.00,4.07465667E-1,
729.00,4.09639001E-1,
730.00,4.11806017E-1,
731.00,4.13968027E-1,
732.00,4.16125923E-1,
733.00,4.18280154E-1,
734.00,4.20431077E-1,
735.00,4.22579169E-1,
736.00,4.24724191E-1,
737.00,4.26865190E-1,
738.00,4.29001242E-1,
739.00,4.31130767E-1,
740.00,4.33252692E-1,
741.00,4.35366720E-1,
742.00,4.37472552E-1,
743.00,4.39569235E-1,
744.00,4.41655725E-1,
745.00,4.43731606E-1,
746.00,4.45797265E-1,
747.00,4.47853148E-1,
748.00,4.49898243E-1,
749.00,4.51931119E-1,
