Labels,T data_N11P_Feb2020_up to 3000,
722.00,3.49861026E-1,
723.00,3.51824939E-1,
724.00,3.53789359E-1,
725.00,3.55753779E-1,
726.00,3.57717663E-1,
727.00,3.59681040E-1,
728.00,3.61643106E-1,
729.00,3.63603860E-1,
730.00,3.65562499E-1,
731.00,3.67518783E-1,
732.00,3.69472712E-1,
733.00,3.71423244E-1,
734.00,3.73370558E-1,
735.00,3.75314265E-1,
736.00,3.77253741E-1,
737.00,3.79189044E-1,
738.00,3.81119579E-1,
739.00,3.83045137E-1,
740.00,3.84965688E-1,
741.00,3.86881053E-1,
742.00,3.88790816E-1,
743.00,3.90694588E-1,
744.00,3.92592579E-1,
745.00,3.94484282E-1,
746.00,3.96369666E-1,
747.00,3.98248762E-1,
748.00,4.00121033E-1,
749.00,4.01986718E-1,
750.00,4.03845578E-1,
751.00,4.05697614E-1,
752.00,4.07542795E-1,
753.00,4.09381449E-1,
754.00,4.11213011E-1,
755.00,4.13037747E-1,
756.00,4.14855897E-1,
757.00,4.16667521E-1,
758.00,4.18472528E-1,
759.00,4.20271277E-1,
760.00,4.22063977E-1,
761.00,4.23850358E-1,
762.00,4.25630689E-1,
763.00,4.27405298E-1,
764.00,4.29174066E-1,
765.00,4.30937350E-1,
766.00,4.32695121E-1,
767.00,4.34447378E-1,
768.00,4.36194122E-1,
769.00,4.37936127E-1,
770.00,4.39672649E-1,
771.00,4.41404670E-1,
772.00,4.43131447E-1,
773.00,4.44853753E-1,
774.00,4.46571618E-1,
775.00,4.48284745E-1,
776.00,4.49993700E-1,
777.00,4.51698124E-1,
778.00,4.53398407E-1,
779.00,4.55094486E-1,
780.00,4.56786305E-1,
781.00,4.58474219E-1,
782.00,4.60158199E-1,
783.00,4.61838543E-1,
784.00,4.63514894E-1,
785.00,4.65187311E-1,
786.00,4.66856092E-1,
787.00,4.68521148E-1,
788.00,4.70182538E-1,
789.00,4.71840262E-1,
790.00,4.73494321E-1,
791.00,4.75144684E-1,
792.00,4.76791114E-1,
793.00,4.78434116E-1,
794.00,4.80073184E-1,
795.00,4.81708616E-1,
796.00,4.83340055E-1,
797.00,4.84967858E-1,
798.00,4.86591727E-1,
799.00,4.88211632E-1,
800.00,4.89827603E-1,
801.00,4.91439879E-1,
802.00,4.93048489E-1,
803.00,4.94653165E-1,
804.00,4.96254176E-1,
805.00,4.97851759E-1,
806.00,4.99445677E-1,
807.00,5.01036704E-1,
808.00,5.02624333E-1,
809.00,5.04209280E-1,
810.00,5.05791366E-1,
811.00,5.07370889E-1,
812.00,5.08947968E-1,
813.00,5.10523260E-1,
814.00,5.12096167E-1,
815.00,5.13667464E-1,
816.00,5.15237510E-1,
817.00,5.16805947E-1,
