Labels,SCA30-2-t_old data from 844_Oct2020,
613.00,2.29793578E-1,
614.00,2.31315568E-1,
615.00,2.32844025E-1,
616.00,2.34379053E-1,
617.00,2.35920742E-1,
618.00,2.37469122E-1,
619.00,2.39024192E-1,
620.00,2.40585923E-1,
621.00,2.42154241E-1,
622.00,2.43729070E-1,
623.00,2.45310336E-1,
624.00,2.46897951E-1,
625.00,2.48491824E-1,
626.00,2.50091910E-1,
627.00,2.51698136E-1,
628.00,2.53310472E-1,
629.00,2.54928976E-1,
630.00,2.56553590E-1,
631.00,2.58184433E-1,
632.00,2.59821534E-1,
633.00,2.61464983E-1,
634.00,2.63114929E-1,
635.00,2.64771461E-1,
636.00,2.66434729E-1,
637.00,2.68104941E-1,
638.00,2.69782245E-1,
639.00,2.71466851E-1,
640.00,2.73158967E-1,
641.00,2.74858892E-1,
642.00,2.76566893E-1,
643.00,2.78283268E-1,
644.00,2.80008316E-1,
645.00,2.81742454E-1,
646.00,2.83486038E-1,
647.00,2.85239458E-1,
648.00,2.87003040E-1,
649.00,2.88777202E-1,
650.00,2.90562242E-1,
651.00,2.92358428E-1,
652.00,2.94165909E-1,
653.00,2.95984864E-1,
654.00,2.97815204E-1,
655.00,2.99656838E-1,
656.00,3.01509529E-1,
657.00,3.03372860E-1,
658.00,3.05246323E-1,
659.00,3.07129294E-1,
660.00,3.09021026E-1,
661.00,3.10920686E-1,
662.00,3.12827349E-1,
663.00,3.14740062E-1,
664.00,3.16657871E-1,
665.00,3.18579823E-1,
666.00,3.20504934E-1,
667.00,3.22432399E-1,
668.00,3.24361473E-1,
669.00,3.26291442E-1,
670.00,3.28221828E-1,
671.00,3.30152303E-1,
672.00,3.32082659E-1,
673.00,3.34012896E-1,
674.00,3.35943162E-1,
675.00,3.37873816E-1,
676.00,3.39805335E-1,
677.00,3.41738403E-1,
678.00,3.43673766E-1,
679.00,3.45612288E-1,
680.00,3.47554833E-1,
681.00,3.49502385E-1,
682.00,3.51455778E-1,
683.00,3.53415906E-1,
684.00,3.55383456E-1,
685.00,3.57359111E-1,
686.00,3.59343320E-1,
687.00,3.61336470E-1,
688.00,3.63338739E-1,
689.00,3.65350187E-1,
690.00,3.67370725E-1,
691.00,3.69400144E-1,
692.00,3.71438146E-1,
693.00,3.73484254E-1,
694.00,3.75537962E-1,
695.00,3.77598673E-1,
696.00,3.79665762E-1,
697.00,3.81738514E-1,
698.00,3.83816123E-1,
699.00,3.85897845E-1,
700.00,3.87982875E-1,
701.00,3.90070379E-1,
702.00,3.92159581E-1,
703.00,3.94249678E-1,
704.00,3.96339923E-1,
705.00,3.98429662E-1,
706.00,4.00518268E-1,
707.00,4.02605176E-1,
708.00,4.04689938E-1,
709.00,4.06772166E-1,
710.00,4.08851624E-1,
711.00,4.10928071E-1,
712.00,4.13001418E-1,
713.00,4.15071607E-1,
714.00,4.17138606E-1,
715.00,4.19202566E-1,
716.00,4.21263516E-1,
717.00,4.23321694E-1,
718.00,4.25377220E-1,
719.00,4.27430302E-1,
720.00,4.29481179E-1,
721.00,4.31529999E-1,
722.00,4.33577001E-1,
723.00,4.35622305E-1,
724.00,4.37666148E-1,
725.00,4.39708591E-1,
726.00,4.41749781E-1,
727.00,4.43789780E-1,
728.00,4.45828617E-1,
729.00,4.47866350E-1,
730.00,4.49902922E-1,
731.00,4.51938331E-1,
732.00,4.53972518E-1,
733.00,4.56005454E-1,
734.00,4.58037049E-1,
735.00,4.60067272E-1,
736.00,4.62095976E-1,
737.00,4.64123160E-1,
738.00,4.66148645E-1,
739.00,4.68172401E-1,
740.00,4.70194250E-1,
741.00,4.72214133E-1,
742.00,4.74231839E-1,
743.00,4.76247191E-1,
744.00,4.78260040E-1,
745.00,4.80270118E-1,
746.00,4.82277185E-1,
747.00,4.84281033E-1,
748.00,4.86281395E-1,
749.00,4.88278031E-1,
750.00,4.90270764E-1,
751.00,4.92259413E-1,
752.00,4.94243860E-1,
753.00,4.96224016E-1,
754.00,4.98199821E-1,
755.00,5.00171304E-1,
756.00,5.02138555E-1,
757.00,5.04101515E-1,
758.00,5.06060362E-1,
759.00,5.08015156E-1,
760.00,5.09965956E-1,
761.00,5.11912823E-1,
762.00,5.13855875E-1,
763.00,5.15795112E-1,
764.00,5.17730653E-1,
765.00,5.19662440E-1,
766.00,5.21590650E-1,
767.00,5.23515224E-1,
768.00,5.25436282E-1,
769.00,5.27353942E-1,
770.00,5.29268205E-1,
771.00,5.31179309E-1,
772.00,5.33087373E-1,
773.00,5.34992516E-1,
774.00,5.36894977E-1,
775.00,5.38794816E-1,
776.00,5.40692210E-1,
777.00,5.42587221E-1,
778.00,5.44479966E-1,
779.00,5.46370327E-1,
780.00,5.48258364E-1,
781.00,5.50143898E-1,
782.00,5.52026808E-1,
783.00,5.53906798E-1,
784.00,5.55783629E-1,
785.00,5.57656884E-1,
786.00,5.59526205E-1,
787.00,5.61391234E-1,
788.00,5.63251495E-1,
789.00,5.65106690E-1,
790.00,5.66956460E-1,
791.00,5.68800509E-1,
792.00,5.70638657E-1,
793.00,5.72470784E-1,
794.00,5.74297011E-1,
795.00,5.76117337E-1,
