Labels,T1_data_new_corrected,
643.00,2.91564031E+5,
644.00,2.93343406E+5,
645.00,2.95122500E+5,
646.00,2.96901656E+5,
647.00,2.98681125E+5,
648.00,3.00461125E+5,
649.00,3.02242000E+5,
650.00,3.04024031E+5,
651.00,3.05807375E+5,
652.00,3.07592125E+5,
653.00,3.09378219E+5,
654.00,3.11165625E+5,
655.00,3.12954375E+5,
656.00,3.14744375E+5,
657.00,3.16535656E+5,
658.00,3.18328156E+5,
659.00,3.20121844E+5,
660.00,3.21916750E+5,
661.00,3.23713031E+5,
662.00,3.25511344E+5,
663.00,3.27312844E+5,
664.00,3.29118375E+5,
665.00,3.30928969E+5,
666.00,3.32745563E+5,
667.00,3.34569219E+5,
668.00,3.36400781E+5,
669.00,3.38241281E+5,
670.00,3.40091719E+5,
671.00,3.41952781E+5,
672.00,3.43824469E+5,
673.00,3.45706531E+5,
674.00,3.47598625E+5,
675.00,3.49500563E+5,
676.00,3.51412000E+5,
677.00,3.53332750E+5,
678.00,3.55262500E+5,
679.00,3.57200938E+5,
680.00,3.59147938E+5,
681.00,3.61103000E+5,
682.00,3.63065750E+5,
683.00,3.65035563E+5,
684.00,3.67011969E+5,
685.00,3.68994344E+5,
686.00,3.70982156E+5,
687.00,3.72974875E+5,
688.00,3.74971906E+5,
689.00,3.76972719E+5,
690.00,3.78976781E+5,
691.00,3.80983531E+5,
692.00,3.82992813E+5,
693.00,3.85004313E+5,
694.00,3.87017813E+5,
695.00,3.89033156E+5,
696.00,3.91050125E+5,
697.00,3.93068469E+5,
698.00,3.95087938E+5,
699.00,3.97108438E+5,
700.00,3.99129625E+5,
701.00,4.01151563E+5,
702.00,4.03174875E+5,
703.00,4.05200406E+5,
704.00,4.07229031E+5,
705.00,4.09261719E+5,
706.00,4.11299125E+5,
707.00,4.13342281E+5,
708.00,4.15391969E+5,
709.00,4.17449031E+5,
710.00,4.19514375E+5,
711.00,4.21588563E+5,
712.00,4.23670844E+5,
713.00,4.25760125E+5,
714.00,4.27855500E+5,
715.00,4.29955875E+5,
716.00,4.32060313E+5,
717.00,4.34167625E+5,
718.00,4.36276938E+5,
719.00,4.38387125E+5,
720.00,4.40497219E+5,
721.00,4.42606313E+5,
722.00,4.44714031E+5,
723.00,4.46820250E+5,
724.00,4.48924688E+5,
725.00,4.51027219E+5,
726.00,4.53127563E+5,
727.00,4.55225594E+5,
728.00,4.57321063E+5,
729.00,4.59413813E+5,
730.00,4.61503625E+5,
731.00,4.63590313E+5,
732.00,4.65673594E+5,
733.00,4.67753406E+5,
734.00,4.69829438E+5,
735.00,4.71901438E+5,
736.00,4.73969344E+5,
737.00,4.76032844E+5,
738.00,4.78091781E+5,
739.00,4.80145906E+5,
740.00,4.82195063E+5,
741.00,4.84239031E+5,
742.00,4.86277438E+5,
743.00,4.88309969E+5,
744.00,4.90336219E+5,
745.00,4.92355969E+5,
746.00,4.94368844E+5,
747.00,4.96374438E+5,
748.00,4.98372406E+5,
749.00,5.00362469E+5,
750.00,5.02344281E+5,
751.00,5.04317563E+5,
752.00,5.06282531E+5,
753.00,5.08239531E+5,
754.00,5.10188906E+5,
755.00,5.12130875E+5,
756.00,5.14065844E+5,
757.00,5.15994063E+5,
758.00,5.17915906E+5,
759.00,5.19831688E+5,
760.00,5.21741656E+5,
761.00,5.23646313E+5,
762.00,5.25546375E+5,
763.00,5.27442500E+5,
764.00,5.29335688E+5,
765.00,5.31226813E+5,
766.00,5.33116438E+5,
767.00,5.35005625E+5,
768.00,5.36895063E+5,
769.00,5.38785625E+5,
770.00,5.40678063E+5,
771.00,5.42573125E+5,
772.00,5.44470750E+5,
773.00,5.46370813E+5,
774.00,5.48273125E+5,
775.00,5.50177500E+5,
776.00,5.52083875E+5,
777.00,5.53992000E+5,
778.00,5.55901688E+5,
779.00,5.57812813E+5,
780.00,5.59725250E+5,
781.00,5.61638813E+5,
782.00,5.63553125E+5,
783.00,5.65468000E+5,
784.00,5.67382938E+5,
785.00,5.69297813E+5,
786.00,5.71212125E+5,
787.00,5.73125750E+5,
788.00,5.75038250E+5,
789.00,5.76949313E+5,
790.00,5.78858563E+5,
791.00,5.80765625E+5,
792.00,5.82669063E+5,
793.00,5.84567250E+5,
794.00,5.86458625E+5,
795.00,5.88341688E+5,
796.00,5.90214813E+5,
797.00,5.92076375E+5,
798.00,5.93924875E+5,
799.00,5.95758688E+5,
800.00,5.97576313E+5,
801.00,5.99376438E+5,
802.00,6.01160000E+5,
803.00,6.02928063E+5,
804.00,6.04681688E+5,
805.00,6.06422188E+5,
806.00,6.08150625E+5,
807.00,6.09868188E+5,
808.00,6.11575938E+5,
809.00,6.13275125E+5,
810.00,6.14966938E+5,
811.00,6.16652375E+5,
812.00,6.18332250E+5,
813.00,6.20007063E+5,
814.00,6.21677750E+5,
815.00,6.23344875E+5,
816.00,6.25009125E+5,
817.00,6.26671063E+5,
818.00,6.28331500E+5,
819.00,6.29991125E+5,
820.00,6.31650500E+5,
821.00,6.33310250E+5,
822.00,6.34970688E+5,
823.00,6.36631750E+5,
824.00,6.38293688E+5,
825.00,6.39956563E+5,
826.00,6.41620563E+5,
827.00,6.43285625E+5,
828.00,6.44952063E+5,
829.00,6.46619813E+5,
830.00,6.48289188E+5,
831.00,6.49960000E+5,
832.00,6.51632313E+5,
833.00,6.53305625E+5,
834.00,6.54979875E+5,
835.00,6.56654688E+5,
836.00,6.58329750E+5,
837.00,6.60004938E+5,
838.00,6.61679875E+5,
839.00,6.63354375E+5,
840.00,6.65028063E+5,
841.00,6.66700813E+5,
842.00,6.68372188E+5,
843.00,6.70041938E+5,
844.00,6.71709625E+5,
845.00,6.73375000E+5,
846.00,6.75037688E+5,
847.00,6.76697313E+5,
848.00,6.78353563E+5,
849.00,6.80006188E+5,
850.00,6.81654750E+5,
851.00,6.83297188E+5,
852.00,6.84935563E+5,
853.00,6.86569875E+5,
854.00,6.88200063E+5,
855.00,6.89826000E+5,
856.00,6.91447813E+5,
857.00,6.93065563E+5,
858.00,6.94679063E+5,
859.00,6.96288438E+5,
860.00,6.97893563E+5,
861.00,6.99494500E+5,
862.00,7.01091188E+5,
863.00,7.02683688E+5,
864.00,7.04271938E+5,
865.00,7.05856000E+5,
866.00,7.07435750E+5,
867.00,7.09011188E+5,
868.00,7.10582375E+5,
869.00,7.12149250E+5,
870.00,7.13711813E+5,
871.00,7.15270125E+5,
872.00,7.16824000E+5,
873.00,7.18373563E+5,
874.00,7.19918813E+5,
875.00,7.21459750E+5,
876.00,7.22996250E+5,
877.00,7.24528438E+5,
878.00,7.26056250E+5,
879.00,7.27579688E+5,
880.00,7.29098750E+5,
881.00,7.30613313E+5,
882.00,7.32123563E+5,
883.00,7.33629375E+5,
884.00,7.35130813E+5,
885.00,7.36627750E+5,
886.00,7.38120313E+5,
887.00,7.39608313E+5,
888.00,7.41092000E+5,
889.00,7.42571188E+5,
890.00,7.44045875E+5,
891.00,7.45516125E+5,
892.00,7.46981875E+5,
893.00,7.48443188E+5,
894.00,7.49900000E+5,
895.00,7.51352313E+5,
896.00,7.52800000E+5,
897.00,7.54243375E+5,
898.00,7.55682250E+5,
899.00,7.57116563E+5,
900.00,7.58546375E+5,
901.00,7.59971625E+5,
902.00,7.61392375E+5,
903.00,7.62808750E+5,
904.00,7.64220563E+5,
905.00,7.65627813E+5,
906.00,7.67030563E+5,
907.00,7.68428875E+5,
908.00,7.69822625E+5,
909.00,7.71211938E+5,
910.00,7.72596750E+5,
911.00,7.73977000E+5,
912.00,7.75352813E+5,
913.00,7.76724063E+5,
914.00,7.78090938E+5,
915.00,7.79453313E+5,
916.00,7.80811188E+5,
917.00,7.82164500E+5,
918.00,7.83513375E+5,
919.00,7.84857875E+5,
920.00,7.86197750E+5,
921.00,7.87533188E+5,
922.00,7.88864188E+5,
923.00,7.90190688E+5,
924.00,7.91512750E+5,
925.00,7.92830313E+5,
926.00,7.94143375E+5,
927.00,7.95452000E+5,
928.00,7.96756125E+5,
929.00,7.98055813E+5,
930.00,7.99351063E+5,
931.00,8.00641813E+5,
932.00,8.01928188E+5,
933.00,8.03210000E+5,
934.00,8.04487375E+5,
935.00,8.05760375E+5,
936.00,8.07028875E+5,
937.00,8.08292875E+5,
938.00,8.09552500E+5,
939.00,8.10807625E+5,
940.00,8.12058313E+5,
941.00,8.13304500E+5,
942.00,8.14546375E+5,
943.00,8.15783688E+5,
944.00,8.17016625E+5,
945.00,8.18245125E+5,
946.00,8.19469188E+5,
947.00,8.20688813E+5,
948.00,8.21904000E+5,
949.00,8.23114750E+5,
950.00,8.24321125E+5,
951.00,8.25523000E+5,
952.00,8.26720438E+5,
953.00,8.27913500E+5,
954.00,8.29102063E+5,
955.00,8.30286313E+5,
956.00,8.31466125E+5,
957.00,8.32641500E+5,
958.00,8.33812375E+5,
959.00,8.34978938E+5,
960.00,8.36141063E+5,
961.00,8.37298750E+5,
962.00,8.38452000E+5,
963.00,8.39600938E+5,
964.00,8.40745375E+5,
965.00,8.41885438E+5,
966.00,8.43021125E+5,
967.00,8.44152438E+5,
968.00,8.45279313E+5,
969.00,8.46401688E+5,
970.00,8.47519813E+5,
971.00,8.48633438E+5,
972.00,8.49742750E+5,
973.00,8.50847625E+5,
974.00,8.51948125E+5,
975.00,8.53044250E+5,
976.00,8.54135875E+5,
977.00,8.55223313E+5,
978.00,8.56306250E+5,
979.00,8.57384813E+5,
980.00,8.58458938E+5,
981.00,8.59528813E+5,
982.00,8.60594250E+5,
983.00,8.61655250E+5,
984.00,8.62711938E+5,
985.00,8.63764250E+5,
986.00,8.64812188E+5,
987.00,8.65855750E+5,
988.00,8.66894938E+5,
989.00,8.67929688E+5,
990.00,8.68960188E+5,
991.00,8.69986313E+5,
992.00,8.71008063E+5,
993.00,8.72025438E+5,
994.00,8.73038500E+5,
995.00,8.74047125E+5,
996.00,8.75051438E+5,
997.00,8.76051313E+5,
998.00,8.77047000E+5,
999.00,8.78038250E+5,
1000.00,8.79025125E+5,
1001.000,8.80007688E+5,
1002.000,8.80985938E+5,
1003.000,8.81959813E+5,
1004.000,8.82929375E+5,
1005.000,8.83894563E+5,
1006.000,8.84855500E+5,
1007.000,8.85812000E+5,
1008.000,8.86764313E+5,
1009.000,8.87712188E+5,
1010.00,8.88655813E+5,
1011.000,8.89595125E+5,
1012.000,8.90530125E+5,
1013.000,8.91460875E+5,
1014.000,8.92387313E+5,
1015.000,8.93309500E+5,
1016.000,8.94227313E+5,
1017.000,8.95140938E+5,
1018.000,8.96050250E+5,
1019.000,8.96955188E+5,
1020.00,8.97856063E+5,
1021.000,8.98752563E+5,
1022.000,8.99644813E+5,
1023.000,9.00532750E+5,
1024.000,9.01416438E+5,
1025.000,9.02296000E+5,
1026.000,9.03171188E+5,
1027.000,9.04042188E+5,
1028.000,9.04909000E+5,
1029.000,9.05771563E+5,
1030.00,9.06629875E+5,
1031.000,9.07484000E+5,
1032.000,9.08333875E+5,
1033.000,9.09179500E+5,
1034.000,9.10021000E+5,
1035.000,9.10858250E+5,
1036.000,9.11691313E+5,
1037.000,9.12520188E+5,
1038.000,9.13344813E+5,
1039.000,9.14165313E+5,
1040.00,9.14981625E+5,
1041.000,9.15793750E+5,
1042.000,9.16601688E+5,
1043.000,9.17405375E+5,
1044.000,9.18205063E+5,
1045.000,9.19000500E+5,
1046.000,9.19791813E+5,
1047.000,9.20578875E+5,
